Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Craft level education,992
,,,Post-secondary: Diploma/ Certificate,18711
,,,Post-secondary: Sub-degree course,13516
,,,Post-secondary: Degree course,31094
,,,Post-secondary: Post-graduate,1739
,,,Sub-Total,122146
,25 - 29,Secondary and below,No schooling,-
,,,Pre-primary,241
,,,Primary,3333
,,,Lower secondary,16493
,,,Upper secondary,40515
,,,Matriculation (including Technician level),7534
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,68116
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,74
,,,Post-secondary: Diploma/ Certificate,2991
,,,Post-secondary: Sub-degree course,2658
,,,Post-secondary: Degree course,10447
,,,Post-secondary: Post-graduate,2018
,,,Sub-Total,18188
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,19
,,,Post-secondary: Diploma/ Certificate,833
,,,Post-secondary: Sub-degree course,738
,,,Post-secondary: Degree course,6684
,,,Post-secondary: Post-graduate,1624
,,,Sub-Total,9898
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,462
,,,Post-secondary: Sub-degree course,272
,,,Post-secondary: Degree course,1250
,,,Post-secondary: Post-graduate,447
,,,Sub-Total,2431
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,52
,,,Post-secondary: Diploma/ Certificate,5896
,,,Post-secondary: Sub-degree course,4216
,,,Post-secondary: Degree course,26625
,,,Post-secondary: Post-graduate,3478
,,,Sub-Total,40267
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,63
,,,Post-secondary: Diploma/ Certificate,3061
,,,Post-secondary: Sub-degree course,2090
,,,Post-secondary: Degree course,6684
,,,Post-secondary: Post-graduate,1220
,,,Sub-Total,13118
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,822
,,,Post-secondary: Sub-degree course,568
,,,Post-secondary: Degree course,2892
,,,Post-secondary: Post-graduate,451
,,,Sub-Total,4733
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,193
,,,Post-secondary: Diploma/ Certificate,2652
,,,Post-secondary: Sub-degree course,1805
,,,Post-secondary: Degree course,5995
,,,Post-secondary: Post-graduate,1964
,,,Sub-Total,12609
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,191
,,,Post-secondary: Diploma/ Certificate,2616
,,,Post-secondary: Sub-degree course,1940
,,,Post-secondary: Degree course,6802
,,,Post-secondary: Post-graduate,1222
,,,Sub-Total,12771
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,47
,,,Post-secondary: Diploma/ Certificate,302
,,,Post-secondary: Sub-degree course,236
,,,Post-secondary: Degree course,431
,,,Post-secondary: Post-graduate,45
,,,Sub-Total,1061
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,383
,,,Post-secondary: Diploma/ Certificate,2004
,,,Post-secondary: Sub-degree course,1283
,,,Post-secondary: Degree course,4512
,,,Post-secondary: Post-graduate,1096
,,,Sub-Total,9278
,,No schooling,No schooling,30
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,30
,,Sub-Total,No schooling,30
,,,Pre-primary,241
,,,Primary,3333
,,,Lower secondary,16493
,,,Upper secondary,40515
,,,Matriculation (including Technician level),7534
,,,Craft level education,1022
,,,Post-secondary: Diploma/ Certificate,21639
,,,Post-secondary: Sub-degree course,15806
,,,Post-secondary: Degree course,72322
,,,Post-secondary: Post-graduate,13565
,,,Sub-Total,192500
,30 - 34,Secondary and below,No schooling,-
,,,Pre-primary,452
,,,Primary,5148
,,,Lower secondary,21660
,,,Upper secondary,50140
,,,Matriculation (including Technician level),7242
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
