Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Post-secondary: Post-graduate,6313
,,,Total,27230
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,2307
,,,Post-secondary: Diploma/ Certificate,20670
,,,Post-secondary: Sub-degree course,12868
,,,Post-secondary: Degree course,39234
,,,Post-secondary: Post-graduate,14976
,,,Total,90055
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,4896
,,,Post-secondary: Diploma/ Certificate,24999
,,,Post-secondary: Sub-degree course,15988
,,,Post-secondary: Degree course,45855
,,,Post-secondary: Post-graduate,16092
,,,Total,107830
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,478
,,,Post-secondary: Diploma/ Certificate,3009
,,,Post-secondary: Sub-degree course,2614
,,,Post-secondary: Degree course,3261
,,,Post-secondary: Post-graduate,912
,,,Total,10274
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,3366
,,,Post-secondary: Diploma/ Certificate,10188
,,,Post-secondary: Sub-degree course,7658
,,,Post-secondary: Degree course,22203
,,,Post-secondary: Post-graduate,10132
,,,Total,53547
,,No schooling,No schooling,16666
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,16666
,,Sub-Total,No schooling,16666
,,,Pre-primary,60316
,,,Primary,211747
,,,Lower secondary,319696
,,,Upper secondary,452491
,,,Matriculation (including Technician level),71004
,,,Craft level education,12709
,,,Post-secondary: Diploma/ Certificate,133971
,,,Post-secondary: Sub-degree course,91353
,,,Post-secondary: Degree course,381782
,,,Post-secondary: Post-graduate,147648
,,,Sub-Total,1899383
Female,15 - 19,Secondary and below,No schooling,-
,,,Pre-primary,38
,,,Primary,609
,,,Lower secondary,9183
,,,Upper secondary,9765
,,,Matriculation (including Technician level),116
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,19711
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,495
,,,Post-secondary: Sub-degree course,333
,,,Post-secondary: Degree course,560
,,,Post-secondary: Post-graduate,12
,,,Sub-Total,1410
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,95
,,,Post-secondary: Sub-degree course,34
,,,Post-secondary: Degree course,226
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,355
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,102
,,,Post-secondary: Sub-degree course,67
,,,Post-secondary: Degree course,85
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,254
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,534
,,,Post-secondary: Sub-degree course,266
,,,Post-secondary: Degree course,628
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,1428
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,74
,,,Post-secondary: Sub-degree course,34
,,,Post-secondary: Degree course,23
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,131
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,171
,,,Post-secondary: Sub-degree course,113
,,,Post-secondary: Degree course,132
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,416
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,146
,,,Post-secondary: Sub-degree course,102
,,,Post-secondary: Degree course,166
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,414
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,66
,,,Post-secondary: Sub-degree course,24
,,,Post-secondary: Degree course,124
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,214
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,41
,,,Post-secondary: Sub-degree course,22
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,63
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,37
,,,Post-secondary: Diploma/ Certificate,367
,,,Post-secondary: Sub-degree course,203
,,,Post-secondary: Degree course,277
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,884
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,-
,,Sub-Total,No schooling,-
,,,Pre-primary,38
,,,Primary,609
,,,Lower secondary,9183
,,,Upper secondary,9765
,,,Matriculation (including Technician level),116
,,,Craft level education,47
,,,Post-secondary: Diploma/ Certificate,2091
,,,Post-secondary: Sub-degree course,1198
,,,Post-secondary: Degree course,2221
,,,Post-secondary: Post-graduate,12
,,,Sub-Total,25280
,20 - 24,Secondary and below,No schooling,-
,,,Pre-primary,83
,,,Primary,864
,,,Lower secondary,6398
,,,Upper secondary,31354
,,,Matriculation (including Technician level),3556
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,42255
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,82
,,,Post-secondary: Diploma/ Certificate,3846
,,,Post-secondary: Sub-degree course,3280
,,,Post-secondary: Degree course,10155
,,,Post-secondary: Post-graduate,668
,,,Sub-Total,18031
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,750
,,,Post-secondary: Sub-degree course,638
,,,Post-secondary: Degree course,2305
,,,Post-secondary: Post-graduate,128
,,,Sub-Total,3821
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1281
,,,Post-secondary: Sub-degree course,807
,,,Post-secondary: Degree course,1426
,,,Post-secondary: Post-graduate,156
,,,Sub-Total,3670
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,35
,,,Post-secondary: Diploma/ Certificate,4813
,,,Post-secondary: Sub-degree course,3705
,,,Post-secondary: Degree course,14547
,,,Post-secondary: Post-graduate,780
,,,Sub-Total,23880
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,562
,,,Post-secondary: Sub-degree course,422
,,,Post-secondary: Degree course,1235
,,,Post-secondary: Post-graduate,141
,,,Sub-Total,2360
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1460
,,,Post-secondary: Sub-degree course,1029
,,,Post-secondary: Degree course,2209
,,,Post-secondary: Post-graduate,24
,,,Sub-Total,4722
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,8
,,,Post-secondary: Diploma/ Certificate,1108
,,,Post-secondary: Sub-degree course,831
,,,Post-secondary: Degree course,2215
,,,Post-secondary: Post-graduate,180
,,,Sub-Total,4342
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,34
,,,Post-secondary: Diploma/ Certificate,589
,,,Post-secondary: Sub-degree course,401
,,,Post-secondary: Degree course,1176
,,,Post-secondary: Post-graduate,232
,,,Sub-Total,2432
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,45
,,,Post-secondary: Diploma/ Certificate,235
,,,Post-secondary: Sub-degree course,339
,,,Post-secondary: Degree course,499
,,,Post-secondary: Post-graduate,31
,,,Sub-Total,1149
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,86
,,,Post-secondary: Diploma/ Certificate,2385
,,,Post-secondary: Sub-degree course,2185
,,,Post-secondary: Degree course,4461
,,,Post-secondary: Post-graduate,347
,,,Sub-Total,9464
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,-
,,Sub-Total,No schooling,-
,,,Pre-primary,83
,,,Primary,864
,,,Lower secondary,6398
,,,Upper secondary,31354
,,,Matriculation (including Technician level),3556
,,,Craft level education,290
,,,Post-secondary: Diploma/ Certificate,17029
,,,Post-secondary: Sub-degree course,13637
,,,Post-secondary: Degree course,40228
,,,Post-secondary: Post-graduate,2687
,,,Sub-Total,116126
,25 - 29,Secondary and below,No schooling,-
,,,Pre-primary,241
,,,Primary,1171
,,,Lower secondary,7050
,,,Upper secondary,34623
,,,Matriculation (including Technician level),7376
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,50461
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,42
,,,Post-secondary: Diploma/ Certificate,3490
,,,Post-secondary: Sub-degree course,3509
,,,Post-secondary: Degree course,17982
,,,Post-secondary: Post-graduate,4099
,,,Sub-Total,29122
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,21
,,,Post-secondary: Diploma/ Certificate,773
,,,Post-secondary: Sub-degree course,540
,,,Post-secondary: Degree course,4076
,,,Post-secondary: Post-graduate,1184
,,,Sub-Total,6594
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1209
,,,Post-secondary: Sub-degree course,774
,,,Post-secondary: Degree course,3778
,,,Post-secondary: Post-graduate,1124
,,,Sub-Total,6885
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,50
,,,Post-secondary: Diploma/ Certificate,7559
,,,Post-secondary: Sub-degree course,5576
,,,Post-secondary: Degree course,29780
,,,Post-secondary: Post-graduate,4174
,,,Sub-Total,47139
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,15
,,,Post-secondary: Diploma/ Certificate,933
,,,Post-secondary: Sub-degree course,582
,,,Post-secondary: Degree course,2618
,,,Post-secondary: Post-graduate,509
,,,Sub-Total,4657
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1360
,,,Post-secondary: Sub-degree course,926
,,,Post-secondary: Degree course,4605
,,,Post-secondary: Post-graduate,937
,,,Sub-Total,7828
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,15
,,,Post-secondary: Diploma/ Certificate,1148
,,,Post-secondary: Sub-degree course,882
,,,Post-secondary: Degree course,3892
,,,Post-secondary: Post-graduate,1232
,,,Sub-Total,7169
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,612
,,,Post-secondary: Sub-degree course,443
,,,Post-secondary: Degree course,2703
,,,Post-secondary: Post-graduate,818
,,,Sub-Total,4576
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,38
,,,Post-secondary: Diploma/ Certificate,466
,,,Post-secondary: Sub-degree course,359
,,,Post-secondary: Degree course,1147
,,,Post-secondary: Post-graduate,81
,,,Sub-Total,2091
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,103
,,,Post-secondary: Diploma/ Certificate,2653
,,,Post-secondary: Sub-degree course,1692
,,,Post-secondary: Degree course,7814
,,,Post-secondary: Post-graduate,2268
,,,Sub-Total,14530
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,-
,,Sub-Total,No schooling,-
,,,Pre-primary,241
,,,Primary,1171
,,,Lower secondary,7050
,,,Upper secondary,34623
,,,Matriculation (including Technician level),7376
,,,Craft level education,284
,,,Post-secondary: Diploma/ Certificate,20203
,,,Post-secondary: Sub-degree course,15283
,,,Post-secondary: Degree course,78395
,,,Post-secondary: Post-graduate,16426
,,,Sub-Total,181052
,30 - 34,Secondary and below,No schooling,-
,,,Pre-primary,552
,,,Primary,3010
,,,Lower secondary,11490
,,,Upper secondary,41566
,,,Matriculation (including Technician level),8684
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,65302
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,149
,,,Post-secondary: Diploma/ Certificate,3212
,,,Post-secondary: Sub-degree course,2399
,,,Post-secondary: Degree course,13846
,,,Post-secondary: Post-graduate,5787
,,,Sub-Total,25393
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,527
,,,Post-secondary: Sub-degree course,397
,,,Post-secondary: Degree course,3762
,,,Post-secondary: Post-graduate,1782
,,,Sub-Total,6478
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,800
,,,Post-secondary: Sub-degree course,367
,,,Post-secondary: Degree course,3202
,,,Post-secondary: Post-graduate,1948
,,,Sub-Total,6317
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,104
,,,Post-secondary: Diploma/ Certificate,7908
,,,Post-secondary: Sub-degree course,5406
,,,Post-secondary: Degree course,29364
,,,Post-secondary: Post-graduate,5634
,,,Sub-Total,48416
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,26
,,,Post-secondary: Diploma/ Certificate,923
,,,Post-secondary: Sub-degree course,680
,,,Post-secondary: Degree course,2698
,,,Post-secondary: Post-graduate,717
,,,Sub-Total,5044
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,965
,,,Post-secondary: Sub-degree course,405
,,,Post-secondary: Degree course,3387
,,,Post-secondary: Post-graduate,1837
,,,Sub-Total,6594
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,49
,,,Post-secondary: Diploma/ Certificate,1015
,,,Post-secondary: Sub-degree course,601
,,,Post-secondary: Degree course,3581
,,,Post-secondary: Post-graduate,1491
,,,Sub-Total,6737
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,462
,,,Post-secondary: Sub-degree course,384
,,,Post-secondary: Degree course,2289
,,,Post-secondary: Post-graduate,832
,,,Sub-Total,3977
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,60
,,,Post-secondary: Diploma/ Certificate,722
,,,Post-secondary: Sub-degree course,716
,,,Post-secondary: Degree course,930
,,,Post-secondary: Post-graduate,167
,,,Sub-Total,2595
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,185
,,,Post-secondary: Diploma/ Certificate,1689
,,,Post-secondary: Sub-degree course,1245
,,,Post-secondary: Degree course,6662
,,,Post-secondary: Post-graduate,2524
,,,Sub-Total,12305
,,No schooling,No schooling,21
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,21
,,Sub-Total,No schooling,21
,,,Pre-primary,552
,,,Primary,3010
,,,Lower secondary,11490
,,,Upper secondary,41566
,,,Matriculation (including Technician level),8684
,,,Craft level education,593
,,,Post-secondary: Diploma/ Certificate,18223
,,,Post-secondary: Sub-degree course,12600
,,,Post-secondary: Degree course,69721
,,,Post-secondary: Post-graduate,22719
,,,Sub-Total,189179
,35 - 39,Secondary and below,No schooling,-
,,,Pre-primary,1176
,,,Primary,6520
,,,Lower secondary,19478
,,,Upper secondary,43559
,,,Matriculation (including Technician level),7907
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,78640
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,83
,,,Post-secondary: Diploma/ Certificate,1762
,,,Post-secondary: Sub-degree course,1459
,,,Post-secondary: Degree course,8694
,,,Post-secondary: Post-graduate,5069
,,,Sub-Total,17067
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,20
,,,Post-secondary: Diploma/ Certificate,437
,,,Post-secondary: Sub-degree course,273
,,,Post-secondary: Degree course,3007
,,,Post-secondary: Post-graduate,1760
,,,Sub-Total,5497
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1160
,,,Post-secondary: Sub-degree course,575
,,,Post-secondary: Degree course,3824
,,,Post-secondary: Post-graduate,1854
,,,Sub-Total,7413
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,24
,,,Post-secondary: Diploma/ Certificate,7279
,,,Post-secondary: Sub-degree course,4353
,,,Post-secondary: Degree course,21875
,,,Post-secondary: Post-graduate,5650
,,,Sub-Total,39181
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,18
,,,Post-secondary: Diploma/ Certificate,656
,,,Post-secondary: Sub-degree course,419
,,,Post-secondary: Degree course,2465
,,,Post-secondary: Post-graduate,1158
,,,Sub-Total,4716
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,859
,,,Post-secondary: Sub-degree course,366
,,,Post-secondary: Degree course,2192
,,,Post-secondary: Post-graduate,1571
,,,Sub-Total,4988
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,935
,,,Post-secondary: Sub-degree course,368
,,,Post-secondary: Degree course,2590
,,,Post-secondary: Post-graduate,1072
,,,Sub-Total,4965
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,29
,,,Post-secondary: Diploma/ Certificate,411
,,,Post-secondary: Sub-degree course,209
,,,Post-secondary: Degree course,1865
,,,Post-secondary: Post-graduate,759
,,,Sub-Total,3273
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,18
,,,Post-secondary: Diploma/ Certificate,439
,,,Post-secondary: Sub-degree course,426
,,,Post-secondary: Degree course,719
,,,Post-secondary: Post-graduate,161
,,,Sub-Total,1763
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,273
,,,Post-secondary: Diploma/ Certificate,1107
,,,Post-secondary: Sub-degree course,617
,,,Post-secondary: Degree course,4276
,,,Post-secondary: Post-graduate,2070
,,,Sub-Total,8343
,,No schooling,No schooling,67
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,67
,,Sub-Total,No schooling,67
,,,Pre-primary,1176
,,,Primary,6520
,,,Lower secondary,19478
,,,Upper secondary,43559
,,,Matriculation (including Technician level),7907
,,,Craft level education,465
,,,Post-secondary: Diploma/ Certificate,15045
,,,Post-secondary: Sub-degree course,9065
,,,Post-secondary: Degree course,51507
,,,Post-secondary: Post-graduate,21124
,,,Sub-Total,175913
,40 - 44,Secondary and below,No schooling,-
,,,Pre-primary,4065
,,,Primary,14643
,,,Lower secondary,31174
,,,Upper secondary,51868
,,,Matriculation (including Technician level),7662
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,109412
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,78
,,,Post-secondary: Diploma/ Certificate,1768
,,,Post-secondary: Sub-degree course,1020
,,,Post-secondary: Degree course,8027
,,,Post-secondary: Post-graduate,4171
,,,Sub-Total,15064
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,370
,,,Post-secondary: Sub-degree course,290
,,,Post-secondary: Degree course,2817
,,,Post-secondary: Post-graduate,1049
,,,Sub-Total,4536
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,932
,,,Post-secondary: Sub-degree course,433
,,,Post-secondary: Degree course,2738
,,,Post-secondary: Post-graduate,1701
,,,Sub-Total,5804
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
